Time,Ego_vehicle_longitudinal_speed,Ego_vehicle_pedal_brake_depression,Lead_vehicle_critical_situation_index,Lead_vehicle_longitudinal_speed,Distance_headway_ego_lead_vehicle
564.889953613281,27.7777614593506,0,0,27.7759323120117,69.4582748413086
564.899963378906,27.7777633666992,0,0,27.7759342193604,69.4582595825195
564.909973144531,27.7777633666992,0,0,27.7759380340576,69.4582366943359
564.919982910156,27.7777652740479,0,0,27.7759399414062,69.4582214355469
564.929992675781,27.7777652740479,0,0,27.7759418487549,69.4581985473633
564.940002441406,27.7777671813965,0,0,27.7759456634521,69.4581832885742
564.950012207031,27.7777671813965,0,0,27.7759475708008,69.4581680297852
564.960021972656,27.7777690887451,0,0,27.7759494781494,69.4581451416016
564.970031738281,27.7777690887451,0,0,27.775951385498,69.4581298828125
564.980041503906,27.7777690887451,0,0,27.7759552001953,69.4581146240234
564.990051269531,27.7777709960938,0,0,27.7759571075439,69.4580917358398
565.000061035156,27.7777709960938,0,0,27.7759590148926,69.4580764770508
565.009948730469,27.7777729034424,0,0,27.7759609222412,69.4580535888672
565.019958496094,27.7777729034424,0,0,27.7759647369385,69.4580383300781
565.029968261719,27.777774810791,0,0,27.7759666442871,69.4580230712891
565.039978027344,27.777774810791,0,0,27.7759685516357,69.4580001831055
565.049987792969,27.7777767181396,0,0,27.775972366333,69.4579849243164
565.059997558594,27.7777767181396,0,0,27.7759742736816,69.4579696655273
565.070007324219,27.7777786254883,0,0,27.7759761810303,69.4579467773438
565.080017089844,27.7777786254883,0,0,27.7759780883789,69.4579315185547
565.090026855469,27.7777805328369,0,0,27.7759819030762,69.4579086303711
565.100036621094,27.7777805328369,0,0,27.7759838104248,69.457893371582
565.110046386719,27.7777824401855,0,0,27.7759857177734,69.457878112793
565.120056152344,27.7777843475342,0,0,27.7759876251221,69.4578552246094
565.130065917969,27.7777843475342,0,0,27.7759914398193,69.4578399658203
565.139953613281,27.7777862548828,0,0,27.775993347168,69.4578247070312
565.149963378906,27.7777862548828,0,0,27.7759952545166,69.4578018188477
565.159973144531,27.7777881622314,0,0,27.7759971618652,69.4577865600586
565.169982910156,27.7777881622314,0,0,27.7760009765625,69.4577713012695
565.179992675781,27.7777900695801,0,0,27.7760028839111,69.4577484130859
565.190002441406,27.7777900695801,0,0,27.7760047912598,69.4577331542969
565.200012207031,27.7777919769287,0,0,27.7760066986084,69.4577178955078
565.210021972656,27.7777938842773,0,0,27.7760105133057,69.4576950073242
565.220031738281,27.7777938842773,0,0,27.7760124206543,69.4576797485352
565.230041503906,27.777795791626,0,0,27.7760143280029,69.4576644897461
565.240051269531,27.777795791626,0,0,27.7760162353516,69.4576416015625
565.250061035156,27.7777976989746,0,0,27.7760200500488,69.4576263427734
565.259948730469,27.7777976989746,0,0,27.7760219573975,69.4576110839844
565.269958496094,27.7777996063232,0,0,27.7760238647461,69.4575881958008
565.279968261719,27.7777996063232,0,0,27.7760257720947,69.4575729370117
565.289978027344,27.7778015136719,0,0,27.776029586792,69.4575576782227
565.299987792969,27.7778015136719,0,0,27.7760314941406,69.4575347900391
565.309997558594,27.7778034210205,0,0,27.7760334014893,69.45751953125
565.320007324219,27.7778034210205,0,0,27.7760353088379,69.4575042724609
565.330017089844,27.7778053283691,0,0,27.7760372161865,69.4574813842773
565.340026855469,27.7778053283691,0,0,27.7760410308838,69.4574661254883
565.350036621094,27.7778053283691,0,0,27.7760429382324,69.4574508666992
565.360046386719,27.7778072357178,0,0,27.7760448455811,69.4574279785156
565.370056152344,27.7778072357178,0,0,27.7760467529297,69.4574127197266
565.380065917969,27.7778072357178,0,0,27.776050567627,69.4573974609375
565.389953613281,27.7778091430664,0,0,27.7760524749756,69.4573822021484
565.399963378906,27.7778091430664,0,0,27.7760543823242,69.4573593139648
565.409973144531,27.7778091430664,0,0,27.7760562896729,69.4573440551758
565.419982910156,27.777811050415,0,0,27.7760601043701,69.4573287963867
565.429992675781,27.777811050415,0,0,27.7760620117188,69.4573059082031
565.440002441406,27.777811050415,0,0,27.7760639190674,69.4572906494141
565.450012207031,27.7778129577637,0,0,27.776065826416,69.457275390625
565.460021972656,27.7778129577637,0,0,27.7760677337646,69.4572601318359
565.470031738281,27.777811050415,0,0,27.7760715484619,69.4572372436523
565.480041503906,27.777811050415,0,0,27.7760734558105,69.4572219848633
565.490051269531,27.7778129577637,0,0,27.7760753631592,69.4572067260742
565.500061035156,27.7778129577637,0,0,27.7760772705078,69.4571838378906
565.509948730469,27.7778129577637,0,0,27.7760810852051,69.4571685791016
565.519958496094,27.7778129577637,0,0,27.7760829925537,69.4571533203125
565.529968261719,27.7778148651123,0,0,27.7760848999023,69.4571380615234
565.539978027344,27.7778148651123,0,0,27.776086807251,69.4571151733398
565.549987792969,27.7778148651123,0,0,27.7760887145996,69.4570999145508
565.559997558594,27.7778148651123,0,0,27.7760925292969,69.4570846557617
565.570007324219,27.7778167724609,0,0,27.7760944366455,69.4570693969727
565.580017089844,27.7778167724609,0,0,27.7760963439941,69.4570465087891
565.590026855469,27.7778167724609,0,0,27.7760982513428,69.45703125
565.600036621094,27.7778167724609,0,0,27.7761001586914,69.4570159912109
565.610046386719,27.7778186798096,0,0,27.7761039733887,69.4570007324219
565.620056152344,27.7778186798096,0,0,27.7761058807373,69.4569778442383
565.630065917969,27.7778186798096,0,0,27.7761077880859,69.4569625854492
565.639953613281,27.7778186798096,0,0,27.7761096954346,69.4569473266602
565.649963378906,27.7778205871582,0,0,27.7761116027832,69.4569320678711
